n,rondas,consenso
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
400,5,True
